,TS,9999,1111,5555
2014-08-14,08/14/2014,43.637689523861056,0.4586355,0.5289562
2014-08-15,08/15/2014,40.89104267302663,0.44601019999999997,0.5146459
2014-08-16,08/16/2014,39.64495380902246,0.43478009999999995,0.5022795
2014-08-17,08/17/2014,36.89422071774162,0.42186049999999997,0.48890439999999996
2014-08-18,08/18/2014,36.243449743074216,0.41059979999999996,0.4768866
2014-08-19,08/19/2014,37.15361661545474,0.40031279999999997,0.46432690000000004
2014-08-20,08/20/2014,35.210752053154614,0.39009770000000005,0.4527389
2014-08-21,08/21/2014,31.69628971524138,0.37004899999999996,0.4383416
2014-08-22,08/22/2014,34.6580745233275,0.3662885,0.4293714
2014-08-23,08/23/2014,32.496756541785466,0.35534570000000004,0.41720050000000003
2014-08-24,08/24/2014,31.54909217696987,0.346468,0.4061818
2014-08-25,08/25/2014,28.65827470425095,0.3402786,0.39790840000000005
2014-08-26,08/26/2014,32.139890261587894,0.3333343,0.3873397
2014-08-27,08/27/2014,28.157759916672763,0.32032790000000005,0.3755553
2014-08-28,08/28/2014,25.45752730496159,0.30976970000000004,0.36546809999999996
2014-08-29,08/29/2014,25.705807101906398,0.30660040000000005,0.3600388
2014-08-30,08/30/2014,26.298836213715955,0.2985152,0.3493643
2014-08-31,08/31/2014,24.71283403436657,0.2823452,0.33878109999999995
2014-09-01,09/01/2014,21.514181560663413,0.27576090000000003,0.3297151
2014-09-02,09/02/2014,25.082712656725093,0.2771865,0.32304340000000004
2014-09-03,09/03/2014,21.409154409291965,0.2582032,0.3118531
2014-09-04,09/04/2014,23.320597493749226,0.25476,0.3043706
2014-09-05,09/05/2014,24.371090517615592,0.2588712,0.29816940000000003
2014-09-06,09/06/2014,23.104987573645438,0.253652,0.2915526
2014-09-07,09/07/2014,28.031401396557808,0.24345189999999997,0.2842086
2014-09-08,09/08/2014,20.541174296244208,0.23804879999999998,0.27771890000000005
2014-09-09,09/09/2014,24.324857987662753,0.2358022,0.2702182
2014-09-10,09/10/2014,13.332998729712221,0.22683820000000002,0.2614343
2014-09-11,09/11/2014,19.69090377150885,0.2227814,0.2551361
2014-09-12,09/12/2014,19.496463751282025,0.2181408,0.24908160000000001
2014-09-13,09/13/2014,12.913974075166465,0.21189229999999998,0.2427485
2014-09-14,09/14/2014,14.91209684548967,0.20423270000000002,0.2358877
2014-09-15,09/15/2014,19.519661697726,0.20098970000000002,0.23010210000000003
2014-09-16,09/16/2014,15.288555399416651,0.1972473,0.2247965
2014-09-17,09/17/2014,16.29844051340801,0.2115844,0.2256054
2014-09-18,09/18/2014,22.825365275378555,0.24087689999999998,0.22710059999999999
2014-09-19,09/19/2014,23.3034952689148,0.1922558,0.2092498
2014-09-20,09/20/2014,25.79464766050632,0.18404979999999999,0.2022775
2014-09-21,09/21/2014,15.057266001055634,0.18090770000000003,0.1971753
2014-09-22,09/22/2014,7.23642973950004,0.1770902,0.19178
2014-09-23,09/23/2014,10.770340734976738,0.18099129999999997,0.1875301
