DTTM,TS,9999,1111,5555
2009-09-18,09/18/2009,29.11996799960092,0.22023854999999998,0.34225965
2009-09-19,09/19/2009,33.927849300009264,0.22284144,0.33642477000000004
2009-09-20,09/20/2009,26.293900536476738,0.21199806000000002,0.32561631
2009-09-21,09/21/2009,25.06682793249111,0.20977901999999998,0.31667832
2009-09-22,09/22/2009,26.55583161307485,0.20437056,0.30815595
2009-09-23,09/23/2009,25.38138899654621,0.19605113999999998,0.30000626999999996
2009-09-24,09/24/2009,22.47191548155522,0.19040751,0.29283498
2009-09-25,09/25/2009,25.788600483476966,0.18990279000000002,0.28596573000000003
2009-09-26,09/26/2009,23.647706874019516,0.18383805,0.27719352
2009-09-27,09/27/2009,18.985850508009413,0.17836731,0.27016073999999995
2009-09-28,09/28/2009,16.726622377176042,0.17422263,0.26508987
2009-09-29,09/29/2009,18.201158367816788,0.16521678000000004,0.25982667
2009-09-30,09/30/2009,15.767236701337465,0.14730867,0.25026795
2009-10-01,10/01/2009,18.96948470870638,0.15236082,0.24149394
2009-10-02,10/02/2009,16.752316220324037,0.15422526,0.236628
2009-10-03,10/03/2009,18.053024465984205,0.14495301000000002,0.23044185
2009-10-04,10/04/2009,12.837347702999852,0.13540167,0.22560912
2009-10-05,10/05/2009,19.55565506769516,0.14152536,0.22005846
2009-10-06,10/06/2009,12.734620565353067,0.14216175,0.21410928
2009-10-07,10/07/2009,13.414049771324047,0.14115222,0.20850776999999998
2009-10-08,10/08/2009,6.76623149040592,0.13835385000000003,0.20388789000000002
2009-10-09,10/09/2009,15.600032544009528,0.1342296,0.19820016000000001
2009-10-10,10/10/2009,11.299989994403656,0.12953816999999998,0.19210590000000002
2009-10-11,10/11/2009,11.872325017218047,0.12833775,0.18902241
2009-10-12,10/12/2009,16.030073352134348,0.12547512,0.18543375
2009-10-13,10/13/2009,7790.300564747531,12.981456,36.580644
2009-10-14,10/14/2009,11910.914649008475,6.6706677,19.436832
2009-10-15,10/15/2009,1929.5594633741837,1.4452407,4.7943657
2009-10-16,10/16/2009,1377.3530054648436,1.2386799000000002,3.9953825999999997
2009-10-17,10/17/2009,1131.3875100534692,1.0839123,3.3567624
2009-10-18,10/18/2009,923.5504083000831,0.9566955000000001,2.8382886
2009-10-19,10/19/2009,1341.2037901125423,1.905291,5.8567905
2009-10-20,10/20/2009,1279.8889365629477,0.9772236,2.6428581
2009-10-21,10/21/2009,727.2423144485372,0.87175845,2.271897
2009-10-22,10/22/2009,589.7667080015722,0.779859,1.9619837999999998
2009-10-23,10/23/2009,486.0080129463589,0.70092315,1.7029035000000001
2009-10-24,10/24/2009,399.8977552298882,0.6499922399999999,1.4990868000000002
2009-10-25,10/25/2009,325.13333445187186,0.5850909000000001,1.3182021
2009-10-26,10/26/2009,262.4503576967748,0.5554586700000002,1.1856122999999998
2009-10-27,10/27/2009,215.85757748787694,0.45639405,1.045431
2009-10-28,10/28/2009,179.2049256058721,0.42733971000000004,0.945882
2009-10-29,10/29/2009,142.04980783391397,0.44821827,0.8756618399999999
2009-10-30,10/30/2009,118.2974415834101,0.44469864,0.8132051700000001
2009-10-31,10/31/2009,95.70197626024714,0.42402051,0.7523892
2009-11-01,11/01/2009,76.65831738790745,0.4051995300000001,0.69647157
2009-11-02,11/02/2009,56.16083880216756,0.38698839,0.64725894
2009-11-03,11/03/2009,50.07773779045965,0.37461258000000003,0.6098207400000001
2009-11-04,11/04/2009,39.8253371602085,0.36086516999999996,0.5769259200000001
2009-11-05,11/05/2009,33.481315722432115,0.85303602,1.0545390000000001
2009-11-06,11/06/2009,712.2728867643605,2.2961187,3.5113239
2009-11-07,11/07/2009,422.0934242544917,0.7972692299999999,1.3678100999999998
2009-11-08,11/08/2009,202.05938194692462,0.7384611600000001,1.2245823
2009-11-09,11/09/2009,170.1755950698545,0.76063545,1.3667274
2009-11-10,11/10/2009,144.70467226123742,0.6799122900000001,1.1141739
2009-11-11,11/11/2009,107.65698482366784,0.62584569,1.0052325
2009-11-12,11/12/2009,91.94390354658658,0.57008439,0.9145629000000001
2009-11-13,11/13/2009,62.911064807239825,0.5505349500000001,0.85587426
2009-11-14,11/14/2009,59.089741868376954,0.49533147000000016,0.7733927700000001
2009-11-15,11/15/2009,42.584084559982834,0.48490029000000007,0.72314424
2009-11-16,11/16/2009,30.92200748263042,0.47516796,0.68144481
2009-11-17,11/17/2009,704.2324263971204,1.8720810000000003,4.289868
2009-11-18,11/18/2009,1182.1986815178755,0.88602624,1.8563166000000002
2009-11-19,11/19/2009,397.9633334137207,0.7746780600000001,1.60623
2009-11-20,11/20/2009,8221.431245864092,5.419575,20.353041
2009-11-21,11/21/2009,2162.1353931530525,1.2742722000000002,2.8778319000000003
2009-11-22,11/22/2009,2853.6763979349407,2.9810529,7.775397000000001
2009-11-23,11/23/2009,1277.538498338313,1.4216373,3.2197995
2009-11-24,11/24/2009,909.7509356839365,1.3171626,2.8509183
2009-11-25,11/25/2009,749.8734431239242,1.2222693,2.5415109
2009-11-26,11/26/2009,622.3804887589674,1.5496803,2.7531423
